ko	KOname
K09312	CDX1_4; homeobox protein CDX1/4
K22234	CDX2; homeobox protein CDX2
K09320	EVX; homeobox even-skipped homolog protein
K09321	GBX; homeobox protein GBX
K08025	HLXB9, HB9; homeobox protein HB9
K09322	MEOX, MOX; homeobox protein MOX
K09300	ABDB; homeobox protein abdominal-B and related proteins
K18659	BCD; homeotic protein bicoid
K09309	NKX1; homeobox protein Nkx-1
K09342	NKX2-1, TITF1; homeobox protein Nkx-2.1
K08029	NKX2-2; homeobox protein Nkx-2.2
K09343	NKX2-3; homeobox protein Nkx-2.3
K09344	NKX2-4; homeobox protein Nkx-2.4
K09345	NKX2-5; homeobox protein Nkx-2.5
K09346	NKX2-6; homeobox protein Nkx-2.6
K09347	NKX2-8; homeobox protein Nkx-2.8
K09348	NKX3-1; homeobox protein Nkx-3.1
K09995	NKX3-2, BAPX1; homeobox protein Nkx-3.2
K09349	NKX5, HMX; homeobox protein Nkx-5
K08030	NKX6-1; homeobox protein Nkx-6.1
K09350	NKX6-2; homeobox protein Nkx-6.2
K09351	NKX6-3; homeobox protein Nkx-6.3
K09352	NKXN; homeobox protein Nkx, invertebrate
K09314	DLX1_4_6; homeobox protein DLX1/4/6
K18488	DLX2; homeobox protein DLX2
K09315	DLX3; homeobox protein DLX3
K18489	DLX5; homeobox protein DLX5
K09340	TLX1, HOX11; T-cell leukemia homeobox protein 1
K15606	TLX2, HOX11L1; T-cell leukemia homeobox protein 2
K15607	TLX3, HOX11L2; T-cell leukemia homeobox protein 3
K09339	HLX1; homeobox protein HLX1
K09317	EMX; homeobox protein EMX
K09318	VAX; homeobox protein ventral anterior
K09319	EN; homeobox protein engrailed
K09341	MSX; homeobox protein MSX
K09353	LBX; homeobox protein LBX
K08024	HHEX, HEX, PRH; homeobox protein HEX
K09360	BARHL; BarH-like
K09361	BARX; BarH-like homeobox
K10164	NANOG; homeobox protein Nanog
K24874	BSX; brain-specific homeobox protein
K24875	DBX; homeobox protein DBX
K24876	NOTO; homeobox protein notochord
K24877	VENTX; homeobox protein VENTX
K09452	ARX; homeobox protein aristaless-related
K09323	ALX3; homeobox protein aristaless-like 3
K09451	ALX4; homeobox protein aristaless-like 4
K09324	GSC; homeobox protein goosecoid
K09325	GSCL; homeobox protein goosecoid-like
K09326	OTX1; homeobox protein OTX1
K18490	OTX2; homeobox protein OTX2
K09327	PROP1; homeobox protein prophet of Pit-1
K09328	UNC4; homeobox protein Unc-4
K09329	PRRX, PMX; paired mesoderm homeobox protein
K09330	PHOX2, PMX2; paired mesoderm homeobox protein 2
K09331	SHOX; short stature homeobox protein
K09332	RAX, RX; retina and anterior neural fold homeobox protein
K09333	RAXL; retina and anterior neural fold homeobox-like protein
K09334	ALX1, CART1; ALX homeobox protein 1
K09335	VSX1; visual system homeobox protein 1
K09336	VSX2, CHX10; visual system homeobox protein 2
K09337	CRX; cone-rod homeobox protein
K18491	ESX1; homeobox protein ESX1
K24199	NOBOX; homeobox protein NOBOX
K09356	PITX1; paired-like homeodomain transcription factor 1
K04686	PITX2; paired-like homeodomain transcription factor 2
K09357	PITX3; paired-like homeodomain transcription factor 3
K09354	HESX1; homeobox protein expressed in ES cells 1
K24892	ARGFX; arginine-fifty homeobox
K24893	DMBX1; diencephalon/mesencephalon homeobox protein 1
K24894	DPRX; divergent paired-related homeobox
K24895	DRGX, PRRXL1; dorsal root ganglia homeobox protein
K24896	DUX; double homeobox protein
K24897	HOPX; homeodomain-only protein
K24898	ISX; intestine-specific homeobox
K24899	LEUTX; leucine-twenty homeobox
K24900	MIXL1; homeobox protein MIXL1
K24901	OTP; homeobox protein orthopedia
K24902	RHOXF1; rhox homeobox family member 1
K24903	RHOXF2; rhox homeobox family member 2
K24904	SEBOX; homeobox protein SEBOX
K24905	TPRX1; tetra-peptide repeat homeobox protein 1
K09382	PAX1_9; paired box protein 1/9
K15608	PAX2; paired box protein 2
K09381	PAX3_7; paired box protein 3/7
K08032	PAX4; paired box protein 4
K09383	PAX5; paired box protein 5
K08031	PAX6; paired box protein 6
K09293	PAX8; paired box protein 8
K09370	ISL1; insulin gene enhancer protein ISL-1
K18492	ISL2; insulin gene enhancer protein ISL-2
K09371	LMX1; LIM homeobox transcription factor 1
K09372	LHX1; LIM homeobox protein 1
K09373	LHX2_9; LIM homeobox protein 2/9
K09374	LHX3_4; LIM homeobox protein 3/4
K18493	LHX5; LIM homeobox protein 5
K09375	LHX6_8; LIM homeobox protein 6/8
K09377	CSRP; cysteine and glycine-rich protein
K09363	POU1F, PIT1; POU domain transcription factor, class 1
K09364	POU2F, OTF; POU domain transcription factor, class 2
K09365	POU3F, OTF; POU domain transcription factor, class 3
K09366	POU4F, BRN3; POU domain transcription factor, class 4
K09367	POU5F; POU domain transcription factor, class 5
K09368	POU6F; POU domain transcription factor, class 6
K24884	HDX; highly divergent homeobox
K08036	TCF1, HNF1A; transcription factor 1, hepatocyte nuclear factor 1-alpha
K08034	TCF2, HNF1B; transcription factor 2, hepatocyte nuclear factor 1-beta
K24885	HMBOX1; homeobox-containing protein 1
K15614	SIX1; homeobox protein SIX1
K19472	SIX2; homeobox protein SIX2
K19473	SIX3_6, OPTIX; homeobox protein SIX3/6
K15615	SIX4; homeobox protein SIX4
K19474	SIX5; homeobox protein SIX5
K09379	ZFHX2; zinc finger homeobox protein 2
K09378	ZFHX3, ATBF1; zinc finger homeobox protein 3
K09380	ZFHX4; zinc finger homeobox protein 4
K09299	ZEB1; zinc finger homeobox protein 1
K23560	ZEB2; zinc finger homeobox protein 2
K22591	ADNP; activity-dependent neuroprotector homeobox protein
K24878	ADNP2; activity-dependent neuroprotector homeobox protein 2
K24879	ZHX1; zinc fingers and homeoboxes protein 1
K24880	ZHX2; zinc fingers and homeoboxes protein 2
K24881	ZHX3; zinc fingers and homeoboxes protein 3
K24883	HOMEZ; homeobox and leucine zipper protein Homez
K24882	NANOGNB; NANOG neighbor homeobox
K09313	CUTL; homeobox protein cut-like
K08026	ONECUT1, HNF6; one cut domain, family member 1 (hepatocyte nuclear factor 6)
K24170	ONECUT2; one cut domain family member 2
K24171	ONECUT3; one cut domain family member 3
K23225	SATB1; DNA-binding protein SATB1
K23226	SATB2; DNA-binding protein SATB2
K20211	PROX1; prospero homeobox 1
K20212	PROX2; prospero homeobox 2
K09355	PBX1; pre-B-cell leukemia transcription factor 1
K15609	PBX2; pre-B-cell leukemia transcription factor 2
K15610	PBX3; pre-B-cell leukemia transcription factor 3
K15611	PBX4; pre-B-cell leukemia transcription factor 4
K15613	MEIS1; homeobox protein Meis1
K16670	MEIS2; homeobox protein Meis2
K16671	MEIS3; homeobox protein Meis3
K19383	TGIF1; homeobox protein TGIF1
K19553	TGIF2; homeobox protein TGIF2
K19554	TGIF2L, TGIFL; homeobox protein TGIF2L
K24889	IRX; iroquois-class homeodomain protein IRX
K24890	MKX; homeobox protein Mohawk
K24891	PKNOX; homeobox protein PKNOX
K16672	HTH; homeobox protein homothorax
K09359	MATA2; mating-type protein A2
K22536	DAN, DANR; distal antenna
K09338	HD-ZIP; homeobox-leucine zipper protein
K09358	MATA1; mating-type protein A1
K02646	PHO2; regulatory protein PHO2
K12411	YOX1, YHP1; homeobox protein YOX1/YHP1
K09362	K09362; homeo domain only family, other
K08035	FOXA2, HNF3B; forkhead box protein A2, hepatocyte nuclear factor 3-beta
K09396	FOXC; forkhead box protein C
K09385	FOXG; forkhead box protein G
K09407	FOXN; forkhead box protein N
K09387	FOXA1, HNF3A; forkhead box protein A1, hepatocyte nuclear factor 3-alpha
K08038	FOXA3, HNF3G; forkhead box protein A3, hepatocyte nuclear factor 3-gamma
K09402	FOXJ1; forkhead box protein J1
K17454	E2F1; transcription factor E2F1
K09389	E2F2; transcription factor E2F2
K06620	E2F3; transcription factor E2F3
K04682	E2F4_5; transcription factor E2F4/5
K09390	E2F6; transcription factor E2F6
K09391	E2F7_8; transcription factor E2F7/8
K04683	TFDP1; transcription factor Dp-1
K09392	TFDP2; transcription factor Dp-2
K09393	TFDP3; transcription factor Dp-3
K09395	FOXB; forkhead box protein B
K09397	FOXD; forkhead box protein D
K09398	FOXE; forkhead box protein E
K09399	FOXF; forkhead box protein F
K09400	FOXH; forkhead box protein H
K09401	FOXI; forkhead box protein I
K09403	FOXJ2_3; forkhead box protein J2/3
K09404	FOXK; forkhead box protein K
K09405	FOXL; forkhead box protein L
K09406	FOXM; forkhead box protein M
K07201	FOXO1; forkhead box protein O1
K09408	FOXO3; forkhead box protein O3
K12358	FOXO4; forkhead box protein O4
K17847	FOXO6; forkhead box protein O6
K23582	FOXP1; forkhead box protein P1
K09409	FOXP2_4; forkhead box protein P2/4
K10163	FOXP3, IPEX; forkhead box P3
K09410	FOXQ, HFH1; forkhead box protein Q
K09411	FOXX; forkhead box protein, other
K09412	FKHL18; forkhead-like 18 protein
K09413	HCM1; forkhead transcription factor HCM1
K24664	FKH; forkhead protein FKH
K09414	HSF1; heat shock transcription factor 1
K09415	HSF2; heat shock transcription factor 2
K09416	HSF3; heat shock transcription factor 3
K09417	HSF4; heat shock transcription factor 4
K09419	HSFF; heat shock transcription factor, other eukaryote
K09420	MYB, C-MYB; transcriptional activator Myb
K09421	MYBL1, A-MYB; myb-related protein A
K21769	MYBL2, B-MYB; myb-related protein B
K09422	MYBP; transcription factor MYB, plant
K23865	MYB30; transcription factor MYB30
K16166	PAP1, MYB75; transcription factor MYB75
K12133	LHY; MYB-related transcription factor LHY
K12134	CCA1; circadian clock associated 1
K09453	SNAPC4; snRNA-activating protein complex subunit 4
K21625	DMTF1, DMP1; cyclin-D-binding Myb-like transcription factor 1
K09423	BAS1; Myb-like DNA-binding protein BAS1
K09424	REB1; Myb-like DNA-binding protein REB1
K09425	K09425; Myb-like DNA-binding protein FlbD
K09426	RAP1; Myb-like DNA-binding protein RAP1
K09427	ADF1; Adh transcription factor 1
K09428	ELF1_2_4; E74-like factor 1/2/4
K09429	K09429, ELF3; E74-like factor 3
K17101	ELF5; E74-like factor 5
K17102	EHF; ETS homologous factor
K04375	ELK1; ETS domain-containing protein Elk-1
K09430	ELK3; ETS domain-containing protein Elk-3 (SRF accessory protein 2)
K04376	ELK4, SAP1; ETS domain-containing protein Elk-4
K09431	ETV1; ets translocation variant 1
K09432	ETV2, ER71; ETS translocation variant 2
K09433	ETV3; ETS translocation variant 3
K15592	ETV4; ets translocation variant 4
K15593	ETV5; ets translocation variant 5
K03211	ETV6_7, yan; ETS translocation variant 6/7
K09434	ERF; ETS domain-containing transcription factor ERF
K02678	ETS1, pnt; C-ets-1
K21932	ETS2; C-ets-2
K09435	ERG; transcriptional regulator ERG
K09436	FLI1; friend leukemia integration 1 transcription factor
K09437	FEV; ETS oncogene family protein FEV
K09438	SPI1; transcription factor PU.1
K09439	SPIB; transcription factor Spi-B
K09440	SPIC; transcription factor Spi-C
K09441	GABPA; GA-binding protein transcription factor, alpha
K09442	SPDEF; SAM pointed domain-containing ETS transcription factor
K09443	K09443; ETS-type family, other
K09444	IRF1; interferon regulatory factor 1
K10153	IRF2; interferon regulatory factor 2
K05411	IRF3; interferon regulatory factor 3
K09445	IRF4; interferon regulatory factor 4
K09446	IRF5; interferon regulatory factor 5
K10154	IRF6; interferon regulatory factor 6
K09447	IRF7; interferon regulatory factor 7
K10155	IRF8; interferon regulatory factor 8
K04693	IRF9, ISGF3G, P48; interferon regulatory factor 9
K09448	TEAD; transcriptional enhancer factor
K02580	NFKB1; nuclear factor NF-kappa-B p105 subunit
K04469	NFKB2; nuclear factor of kappa light polypeptide gene enhancer in B-cells 2
K04735	RELA; transcription factor p65
K09253	RELB; transcription factor RelB
K09254	REL; c-Rel proto-oncogene protein
K04734	NFKBIA; NF-kappa-B inhibitor alpha
K02581	NFKBIB; NF-kappa-B inhibitor beta
K14214	NFKBID; NF-kappa-B inhibitor delta
K05872	NFKBIE; NF-kappa-B inhibitor epsilon
K14242	NFKBIZ; NF-kappa-B inhibitor zeta
K09256	NFKBIL1; NF-kappa-B inhibitor-like protein 1
K09257	NFKBIL2; NF-kappa-B inhibitor-like protein 2
K09258	BCL3; B-cell CLL/lymphoma protein 3
K09454	GABPB; GA-binding protein transcription factor, beta
K04446	NFATC1, NFAT2, NFATC; nuclear factor of activated T-cells, cytoplasmic 1
K17332	NFATC2, NFAT1, NFATP; nuclear factor of activated T-cells, cytoplasmic 2
K17333	NFATC3, NFAT4; nuclear factor of activated T-cells, cytoplasmic 3
K17334	NFATC4, NFAT3; nuclear factor of activated T-cells, cytoplasmic 4
K17335	NFAT5; nuclear factor of activated T-cells 5
K11220	STAT1; signal transducer and activator of transcription 1
K11221	STAT2; signal transducer and activator of transcription 2
K04692	STAT3; signal transducer and activator of transcription 3
K11222	STAT4; signal transducer and activator of transcription 4
K11223	STAT5A; signal transducer and activator of transcription 5A
K11224	STAT5B; signal transducer and activator of transcription 5B
K11225	STAT6; signal transducer and activator of transcription 6
K04451	TP53, P53; tumor protein p53
K10148	TP73; tumor protein p73
K10149	TP63; tumor protein p63
K09260	MEF2A; MADS-box transcription enhancer factor 2A
K09261	MEF2B; MADS-box transcription enhancer factor 2B
K04454	MEF2C; MADS-box transcription enhancer factor 2C
K09262	MEF2D; MADS-box transcription enhancer factor 2D
K09264	K09264; MADS-box transcription factor, plant
K12412	MCM1; pheromone receptor transcription factor
K19808	ARG80, ARGR1; arginine metabolism regulation protein I
K09265	RLM1; transcription factor RLM1
K19807	SMP1; transcription factor SMP1
K04378	SRF; serum response factor
K15413	SP100; nuclear body protein Sp100
K24503	SP110; nuclear body protein Sp110
K24504	SP140; nuclear body protein Sp140
K10603	AIRE; autoimmune regulator
K23041	DEAF1; deformed epidermal autoregulatory factor 1
K24505	GMEB; glucocorticoid modulatory element-binding protein
K03120	TBP, tbp; transcription initiation factor TFIID TATA-box-binding protein
K09266	SRY; sex-determining region Y protein (SOX group A)
K09267	SOX1S; transcription factor SOX1/3/14/21 (SOX group B)
K16796	SOX2; transcription factor SOX2 (SOX group B)
K23581	SOX4; transcription factor SOX4 (SOX group C)
K09268	SOX11_12; transcription factor SOX11/12 (SOX group C)
K09269	SOX5_6_13; transcription factor SOX5/6/13 (SOX group D)
K09270	SOX7S; transcription factor SOX7/8/10/18 (SOX group E/F)
K18435	SOX9; transcription factor SOX9 (SOX group E)
K04495	SOX17; transcription factor SOX17 (SOX group F)
K09271	SOX15_30; transcription factor SOX15/30
K20225	CIC; capicua transcriptional repressor
K21643	BBX, HBP2; HMG box transcription factor BBX
K21644	HBP1; HMG box transcription factor 1
K04492	LEF1; lymphoid enhancer-binding factor 1
K02620	TCF7, TCF-1; transcription factor 7
K04490	TCF7L1; transcription factor 7-like 1
K04491	TCF7L2; transcription factor 7-like 2
K09272	SSRP1; structure-specific recognition protein 1
K09273	UBTF; upstream-binding transcription factor
K22483	HMO1; transcriptional regulator HMO1
K22496	RFG1, ROX1; repressor RFG1/ROX1
K09274	K09274; HMG box factor, other
K08064	NFYA, HAP2; nuclear transcription factor Y, alpha
K08065	NFYB, HAP3; nuclear transcription Y subunit beta
K08066	NFYC, HAP5; nuclear transcription factor Y, gamma
K09275	TFCP2; transcription factor CP2 and related proteins
K06099	CSDA, ZONAB; cold shock domain protein A
K09276	YBX1, NSEP1; Y-box-binding protein 1
K09277	YBX2; Y-box-binding protein 2
K08367	RUNX1, AML1; runt-related transcription factor 1
K09278	RUNX2, AML3; runt-related transcription factor 2
K09279	RUNX3, AML2; runt-related transcription factor 3
K20213	RUN; RUNX transcription factor Runt
K20214	LZ; RUNX transcription factor Lozenge
K09280	RUNXA_B; runt-related transcription factor
K24768	MYRF; myelin regulatory factor
K12769	NDT80; meiosis-specific transcription factor NDT80
K09282	HMGA1; high mobility group AT-hook protein 1
K09283	HMGA2; high mobility group AT-hook protein 2
K06618	RB1; retinoblastoma-associated protein
K04681	RBL1; retinoblastoma-like protein 1
K16332	RBL2; retinoblastoma-like protein 2
K04498	EP300, CREBBP, KAT3; E1A/CREB-binding protein
K10172	BRA, T; brachyury protein
K10173	EOMES, TBR2; eomesodermin protein
K10174	TBR1; T-box brain protein 1
K10175	TBX1; T-box protein 1
K10176	TBX2; T-box protein 2
K10177	TBX3; T-box protein 3
K10178	TBX4; T-box protein 4
K10179	TBX5, HOS; T-box protein 5
K10180	TBX6; T-box protein 6
K10181	TBX10, TBX7; T-box protein 10
K10182	TBX15, TBX14; T-box protein 15
K10183	TBX18; T-box protein 18
K10184	TBX19; T-box protein 19
K10185	TBX20; T-box protein 20
K10166	TBX21; T-box protein 21
K10186	TBX22; T-box protein 22
K16221	TCP21, CHE; transcription factor TCP21 (protein CCA1 HIKING EXPEDITION)
K19488	DMRT1; doublesex- and mab-3-related transcription factor 1
K19489	DMRT2; doublesex- and mab-3-related transcription factor 2
K19490	DMRT3; doublesex- and mab-3-related transcription factor 3
K19491	DMRT4_5, DMRTA; doublesex- and mab-3-related transcription factor 4/5
K19492	DMRT6, DMRTB; doublesex- and mab-3-related transcription factor 6
K19493	DMRT7, DMRTC2; doublesex- and mab-3-related transcription factor 7
K19494	DMRT8, DMRTC1; doublesex- and mab-3-related transcription factor 8
K09284	AP2; AP2-like factor, euAP2 lineage
K09285	OVM, ANT; AP2-like factor, ANT lineage
K09286	EREBP; EREBP-like factor
K14516	ERF1; ethylene-responsive transcription factor 1
K14517	ERF2; ethylene-responsive transcription factor 2
K14507	ORCA2_3; AP2-domain DNA-binding protein ORCA2/3
K13432	PTI4; pathogenesis-related genes transcriptional activator PTI4
K13433	PTI5; pathogenesis-related genes transcriptional activator PTI5
K13434	PTI6; pathogenesis-related genes transcriptional activator PTI6
K09287	RAV; RAV-like factor
K18834	WRKY1; WRKY transcription factor 1
K18835	WRKY2; WRKY transcription factor 2
K13425	WRKY22; WRKY transcription factor 22
K13423	WRKY25; WRKY transcription factor 25
K13426	WRKY29; WRKY transcription factor 29
K13424	WRKY33; WRKY transcription factor 33
K13944	LBD16; LOB domain-containing protein 16
K21994	LBD18; LOB domain-containing protein 18
K13945	LBD29; LOB domain-containing protein 29
K09281	K09281; copper-fist transcription factor
K21404	AKNA; AT-hook-containing transcription factor
K21595	CARF; calcium-responsive transcription factor
K21596	CAMTA; calmodulin-binding transcription activator
K21598	GCM; chorion-specific transcription factor GCM
K21599	CIART, CHRONO, GM129; circadian-associated transcriptional repressor
K22145	TMEM18; transmembrane protein 18
K22543	MN1; transcriptional activator MN1
K22758	CHCHD2; coiled-coil-helix-coiled-coil-helix domain-containing protein 2
K06053	RBPSUH, RBPJK; recombining binding protein suppressor of hairless
K23804	GON4L; GON-4-like protein
K21772	PURA; transcriptional activator protein Pur-alpha
K21799	PURB; transcriptional activator protein Pur-beta
K24992	MYEF2; myelin expression factor 2
K14514	EIN3; ethylene-insensitive protein 3
K11215	STE12; transcription factor STE12
K12413	WHI5; G1-specific transcriptional repressor WHI5
K12764	IME1; meiosis-inducing protein 1
K12779	SUM1; suppressor of MAR1-1 protein
K19815	HOT1; high-osmolarity-induced transcription protein 1
K19816	MSS11; transcription activator MSS11
K21631	GTI1, PAC2, WOR1; Gti1/Pac2 family transcription factor
K12763	EFG1, SOK2; enhanced filamentous growth protein 1
K02099	araC; AraC family transcriptional regulator, arabinose operon regulatory protein
K02508	hpaA; AraC family transcriptional regulator, 4-hydroxyphenylacetate 3-monooxygenase operon regulatory protein
K02854	rhaR; AraC family transcriptional regulator, L-rhamnose operon transcriptional activator RhaR
K02855	rhaS; AraC family transcriptional regulator, L-rhamnose operon regulatory protein RhaS
K03490	chbR, celD; AraC family transcriptional regulator, dual regulator of chb operon
K03755	adiY; AraC family transcriptional regulator, transcriptional activator of adiA
K04033	eutR; AraC family transcriptional regulator, ethanolamine operon transcriptional activator
K05372	ybtA; AraC family transcriptional regulator
K06599	chpD; AraC family transcriptional regulator, chemosensory pili system protein ChpD
K07780	appY; AraC family transcriptional regulator, transcriptional regulator required for anaerobic and stationary phase induction of genes
K10923	tcpN, toxT; AraC family transcriptional regulator, TCP pilus virulence regulatory protein
K11920	envY; AraC family transcriptional regulator
K12243	pchR; AraC family transcriptional regulator, transcriptional activator of the genes for pyochelin and ferripyochelin receptors
K13631	soxS; AraC family transcriptional regulator, mar-sox-rob regulon activator
K13632	marA; AraC family transcriptional regulator, mar-sox-rob regulon activator
K05804	rob; AraC family transcriptional regulator, mar-sox-rob regulon activator
K18325	ramA; AraC family of transcriptional regulator, multidrug resistance transcriptional activator
K14063	feaR; AraC family transcriptional regulator, positive regulator of tynA and feaB
K18954	pobR; AraC family transcriptional regulator, transcriptional activator of pobA
K18991	mtrA; AraC family transcriptional regulator, activator of mtrCDE
K19056	tetD; AraC family transcriptional regulator, transposon Tn10 TetD protein
K20968	exsA; AraC family transcriptional regulator, exoenzyme S synthesis regulatory protein ExsA
K21746	rclR; AraC family transcriptional regulator, reactive chlorine species (RCS)-specific activator of rcl operon
K21747	alkR; AraC family transcriptional regulator, alkane utilization regulator
K21906	gadW; AraC family transcriptional regulator, glutamate-dependent acid resistance regulator
K21905	gadX; AraC family transcriptional regulator, glutamate-dependent acid resistance regulator
K23237	melR; AraC family transcriptional regulator, melibiose operon regulatory protein
K19693	tfoS; AraC family transcriptional regulator, chitin signaling transcriptional activator
K21701	btr; AraC family transcriptional regulator, transcriptional activator for feuABC-ybbA operon
K13652	K13652; AraC family transcriptional regulator
K13653	K13653; AraC family transcriptional regulator
K07506	K07506; AraC family transcriptional regulator
K10778	ada; AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase
K13529	ada-alkA; AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II
K13530	adaA; AraC family transcriptional regulator, regulatory protein of adaptative response / methylphosphotriester-DNA alkyltransferase methyltransferase
K13633	ftrA; AraC family transcriptional regulator, transcriptional activator FtrA
K17736	cdhR; AraC family transcriptional regulator, carnitine catabolism transcriptional activator
K21825	argR; AraC family transcriptional regulator, L-arginine-responsive activator
K21826	gbdR; AraC family transcriptional regulator, glycine betaine-responsive activator
K03566	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator
K02521	ilvY; LysR family transcriptional regulator, positive regulator for ilvC
K02623	pcaQ; LysR family transcriptional regulator, pca operon transcriptional activator
K03576	metR; LysR family transcriptional regulator, regulator for metE and metH
K03717	nhaR; LysR family transcriptional regulator, transcriptional activator of nhaA
K04761	oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator
K05596	iciA; LysR family transcriptional regulator, chromosome initiation inhibitor
K05798	leuO; LysR family transcriptional regulator, transcriptional activator for leuABCD operon
K05817	hcaR; LysR family transcriptional regulator, hca operon transcriptional activator
K07592	tdcA; LysR family transcriptional regulator, tdc operon transcriptional activator
K09681	gltC; LysR family transcriptional regulator, transcription activator of glutamate synthase operon
K10918	aphB; LysR family transcriptional regulator, transcriptional activator AphB
K10972	allS; LysR family transcriptional regulator, transcriptional activator of the allD operon
K11921	cynR; LysR family transcriptional regulator, cyn operon transcriptional activator
K13634	cysB; LysR family transcriptional regulator, cys regulon transcriptional activator
K13635	cbl; LysR family transcriptional regulator, cys regulon transcriptional activator
K13636	dsdC; LysR family transcriptional regulator, D-serine deaminase activator
K13794	tcuR; LysR family transcriptional regulator, regulatory protein for tcuABC
K13928	mdcR; LysR family transcriptional regulator, malonate utilization transcriptional regulator
K14057	abgR; LysR family transcriptional regulator, regulator of abg operon
K14657	nodD; LysR family transcriptional regulator, nod-box dependent transcriptional activator
K16135	dmlR; LysR family transcriptional regulator, transcriptional activator for dmlA
K17737	dhcR; LysR family transcriptional regulator, carnitine catabolism transcriptional activator
K16516	galR; LysR family transcriptional regulator, regulator for genes of the gallate degradation pathway
K17850	ampR; LysR family transcriptional regulator, regulator of gene expression of beta-lactamase
K18297	mexT; LysR family transcriptional regulator, mexEF-oprN operon transcriptional activator
K18900	bpeT; LysR family transcriptional regulator, regulator for bpeEF and oprC
K18927	lldR; LysR family transcriptional regulator, L-lactate utilization regulator
K19242	citR; LysR family transcriptional regulator, repressor for citA
K19338	nac; LysR family transcriptional regulator, nitrogen assimilation regulatory protein
K19555	spvR; LysR family transcriptional regulator, spv operon transcriptional activator
K19618	fitG; LysR family transcriptional regulator, activator of insecticidal toxin
K19624	phcA; LysR family transcriptional regulator, virulence genes transcriptional regulator
K19735	mvfR, pqsR; LysR family transcriptional regulator, quorum-sensing system regulator MvfR
K21645	hypT, qseD; LysR family transcriptional regulator, hypochlorite-specific transcription factor HypT
K21698	aaeR; LysR family transcriptional regulator, transcriptional activator for aaeXAB operon
K21699	bauR; LysR family transcriptional regulator, transcriptional activator for bauABCD operon
K21703	cbbR, cmpR, ndhR; LysR family transcriptional regulator, low CO2-responsive transcriptional regulator
K21711	pycR; LysR family transcriptional regulator, putative pyruvate carboxylase regulator
K21742	ttdR; LysR family transcriptional regulator, transcriptional activator for ttdABT operon
K21755	bsdA; LysR family transcriptional regulator, salicylic acid-responsive activator of bsdBCD
K21756	catM; LysR family transcriptional regulator, cis,cis-muconate-responsive activator of cat and ben genes
K21757	benM; LysR family transcriptional regulator, benzoate and cis,cis-muconate-responsive activator of ben and cat genes
K21900	cysL; LysR family transcriptional regulator, transcriptional activator of the cysJI operon
K21959	ftsR; LysR family transcriptional regulator, cell division regulator
K22711	pltR; LysR family transcriptional regulator, pyoluteorin biosynthesis regulator
K23773	hdfR; LysR family transcriptional regulator, flagellar master operon regulator
K24082	pgrR; LysR family transcriptional regulator, regulator of peptidoglycan recycling
K21960	ytlI; LysR family transcriptional regulator, regulator of the ytmI operon
K11534	deoR; DeoR family transcriptional regulator, deoxyribose operon repressor
K02444	glpR; DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor
K02530	lacR; DeoR family transcriptional regulator, lactose phosphotransferase system repressor
K02436	gatR; DeoR family transcriptional regulator, galactitol utilization operon repressor
K02081	agaR; DeoR family transcriptional regulator, aga operon transcriptional repressor
K02430	fucR; DeoR family transcriptional regulator, L-fucose operon activator
K03436	fruR2, fruR; DeoR family transcriptional regulator, fructose operon transcriptional repressor
K02468	srlR, gutR; DeoR family transcriptional regulator, glucitol operon repressor
K03477	ulaR; DeoR family transcriptional regulator, ulaG and ulaABCDEF operon transcriptional repressor
K06283	spoIIID; putative DeoR family transcriptional regulator, stage III sporulation protein D
K06608	iolR; DeoR family transcriptional regulator, myo-inositol catabolism operon repressor
K20271	accR; DeoR family transcriptional regulator, repressor of opine catabolism and conjugal transfer
K22103	glcR; DeoR family transcriptional regulator, carbon catabolite repression regulator
K23774	ccpN; DeoR family transcriptional regulator, catabolite repression regulator
K21601	ycnK; DeoR family transcriptional regulator, copper-sensing transcriptional repressor
K09012	sufR; DeoR family transcriptional regulator, suf operon transcriptional repressor
K02529	lacI, galR; LacI family transcriptional regulator
K02525	kdgR; LacI family transcriptional regulator, kdg operon repressor
K05499	cytR; LacI family transcriptional regulator, repressor for deo operon, udp, cdd, tsx, nupC, and nupG
K03435	fruR1, fruR; LacI family transcriptional regulator, fructose operon transcriptional repressor
K03484	scrR; LacI family transcriptional regulator, sucrose operon repressor
K03485	treR; LacI family transcriptional regulator, trehalose operon repressor
K03487	ascG; LacI family transcriptional regulator, asc operon repressor
K03604	purR; LacI family transcriptional regulator, purine nucleotide synthesis repressor
K06145	gntR; LacI family transcriptional regulator, gluconate utilization system Gnt-I transcriptional repressor
K06146	idnR, gntH; LacI family transcriptional regulator, gluconate utilization system Gnt-II transcriptional activator
K12113	ebgR; LacI family transcriptional regulator, ebg operon repressor
K16136	malI; LacI family transcriptional regulator, maltose regulon regulatory protein
K17640	bxlR; LacI family transcriptional regulator, xylobiose transport system transcriptional regulator
K02103	araR; GntR family transcriptional regulator, arabinose operon transcriptional repressor
