KOGID	kogidname
KOG3863	bZIP transcription factor NRF1
KOG3864	Uncharacterized conserved protein
KOG3865	Arrestin
KOG3866	DNA-binding protein of the nucleobindin family
KOG3867	Sulfatase
KOG3868	Vacuolar H+-ATPase V0 sector, accessory subunit S1 (Ac45)
KOG3869	Uncharacterized conserved protein
KOG3870	Uncharacterized conserved protein
KOG3871	Cell adhesion complex protein bystin
KOG3872	FOG: FHA domain
KOG3873	Sphingomyelinase family protein
KOG3874	Uncharacterized conserved protein
KOG3875	Peroxisomal biogenesis protein peroxin
KOG3876	Arfaptin and related proteins
KOG3877	NADH:ubiquinone oxidoreductase, NDUFA10/42kDa subunit
KOG3878	Protein involved in maintenance of Golgi structure and ER-Golgi transport
KOG3879	Predicted membrane protein
KOG3880	Predicted small molecule transporter involved in cellular pH homeostasis (Batten disease protein in human)
KOG3881	Uncharacterized conserved protein
KOG3882	Tetraspanin family integral membrane protein
KOG3883	Ras family small GTPase
KOG3884	Neural proliferation, differentiation and control protein
KOG3885	Fibroblast growth factor
KOG3886	GTP-binding protein
KOG3887	Predicted small GTPase involved in nuclear protein import
KOG3888	Gamma-butyrobetaine,2-oxoglutarate dioxygenase
KOG3889	Predicted gamma-butyrobetaine,2-oxoglutarate dioxygenase
KOG3890	Mitochondrial 28S ribosomal protein S22
KOG3891	Secretory vesicle-associated protein ICA69, contains Arfaptin domain
KOG3892	N-acetyl-glucosamine-6-phosphate deacetylase
KOG3893	Mannosyltransferase
KOG3894	SNARE protein Syntaxin 18/UFE1
KOG3895	Synaptic vesicle protein Synapsin
KOG3896	Dynactin, subunit p62
KOG3897	Conserved protein Knockout
KOG3898	Transcription factor NeuroD and related HTH proteins
KOG3899	Uncharacterized conserved protein
KOG3900	Transforming growth factor beta, bone morphogenetic protein and related proteins
KOG3901	Transcription initiation factor IID subunit
KOG3902	Histone acetyltransferase PCAF/SAGA, subunit SUPT3H/SPT3
KOG3903	Mitotic checkpoint protein PRCC
KOG3904	Predicted hydrolase RP2 (NUDIX/MutT superfamily)
KOG3905	Dynein light intermediate chain
KOG3906	Tryptophan 2,3-dioxygenase
KOG3907	ZIP-like zinc transporter proteins
KOG3908	Queuine-tRNA ribosyltransferase
KOG3909	Queuine-tRNA ribosyltransferase
KOG3910	Helix loop helix transcription factor
KOG3911	Nucleolar protein NOP52/RRP1
KOG3912	Predicted integral membrane protein
KOG3913	Wnt family of developmental regulators
KOG3914	WD repeat protein WDR4
KOG3915	Transcription regulator dachshund, contains SKI/SNO domain
KOG3916	UDP-Gal:glucosylceramide beta-1,4-galactosyltransferase
KOG3917	Beta-1,4-galactosyltransferase B4GALT7/SQV-3
KOG3918	Predicted membrane protein
KOG3919	Kinesin-associated fasciculation and elongation protein involved in axonal transport
KOG3920	Uncharacterized conserved protein, contains PA domain
KOG3921	Uncharacterized conserved protein
KOG3922	Sulfotransferases
KOG3923	D-aspartate oxidase
KOG3924	Putative protein methyltransferase involved in meiosis and transcriptional silencing (Dot1)
KOG3925	Uncharacterized conserved protein
KOG3926	F-box proteins
KOG3927	Na+/K+ ATPase, beta subunit
KOG3928	Mitochondrial ribosome small subunit component, mediator of apoptosis DAP3
KOG3929	Uncharacterized conserved protein
KOG3930	Uncharacterized conserved protein
KOG3931	Uncharacterized conserved protein
KOG3932	CDK5 kinase activator p35/Nck5a
KOG3933	Mitochondrial ribosomal protein S28
KOG3934	Histone mRNA stem-loop binding protein
KOG3935	Predicted glycerate kinase
KOG3936	Nitroreductases
KOG3937	mRNA splicing factor
KOG3938	RGS-GAIP interacting protein GIPC, contains PDZ domain
KOG3939	Selenophosphate synthetase
KOG3940	Uncharacterized conserved protein
KOG3941	Intermediate in Toll signal transduction pathway (ECSIT)
KOG3942	MIF4G domain-containing protein
KOG3943	THUMP domain-containing proteins
KOG3944	Uncharacterized conserved protein
KOG3945	Uncharacterized conserved protein
KOG3946	Glutaminyl cyclase
KOG3947	Phosphoesterases
KOG3948	Mediator of U snRNA nuclear export PHAX
KOG3949	RNA polymerase II elongator complex, subunit ELP4
KOG3950	Gamma/delta sarcoglycan
KOG3951	Uncharacterized conserved protein
KOG3952	Uncharacterized conserved protein
KOG3953	SOCS box protein SSB-1, contains SPRY domain
KOG3954	Electron transfer flavoprotein, alpha subunit
KOG3955	Heparan sulfate 6-O-sulfotransferase
KOG3956	Alpha 2-macroglobulin receptor-associated protein
KOG3957	Predicted L-carnitine dehydratase/alpha-methylacyl-CoA racemase
KOG3958	Putative dynamitin
KOG3959	2-Oxoglutarate- and iron-dependent dioxygenase-related proteins
KOG3960	Myogenic helix-loop-helix transcription factor
KOG3961	Uncharacterized conserved protein
KOG3962	Predicted actin-bundling protein
KOG3963	Mab-21-like cell fate specification proteins
KOG3964	Phosphatidylglycerolphosphate synthase
KOG3965	Uncharacterized conserved protein
KOG3966	p53-mediated apoptosis protein EI24/PIG8
KOG3967	Uncharacterized conserved protein
KOG3968	Atrazine chlorohydrolase/guanine deaminase
KOG3969	Uncharacterized conserved protein
KOG3970	Predicted E3 ubiquitin ligase
KOG3971	SAP-90/PSD-95 associated protein-related protein (Vulcan)
KOG3972	Predicted membrane protein
KOG3973	Uncharacterized conserved glycine-rich protein
KOG3974	Predicted sugar kinase
KOG3975	Uncharacterized conserved protein
KOG3976	Mitochondrial F1F0-ATP synthase, subunit b/ATP4
KOG3977	Troponin I
KOG3978	Predicted membrane protein
KOG3979	FGF receptor activating protein 1
KOG3980	RNA 3'-terminal phosphate cyclase
KOG3981	Deoxyribose-phosphate aldolase
KOG3982	Runt and related transcription factors
KOG3983	Golgi protein
KOG3984	Purine nucleoside phosphorylase
KOG3985	Methylthioadenosine phosphorylase MTAP
KOG3986	Protein phosphatase, regulatory subunit PPP1R3C/D
KOG3987	Uncharacterized conserved protein DREV/CGI-81
KOG3988	Protein-tyrosine sulfotransferase TPST1/TPST2
KOG3989	Beta-2-glycoprotein I
KOG3990	Uncharacterized conserved protein
KOG3991	Uncharacterized conserved protein
KOG3992	Uncharacterized conserved protein
KOG3993	Transcription factor (contains Zn finger)
KOG3994	Uncharacterized conserved protein
KOG3995	3-hydroxyanthranilate oxygenase HAAO
KOG3996	Holocytochrome c synthase/heme-lyase
KOG3997	Major apurinic/apyrimidinic endonuclease/3'-repair diesterase APN1
KOG3998	Putative cargo transport protein ERV29
KOG3999	Checkpoint 9-1-1 complex, HUS1 component
KOG4000	Uncharacterized conserved protein
KOG4001	Axonemal dynein light chain
KOG4002	Uncharacterized integral membrane protein
KOG4003	Pyrazinamidase/nicotinamidase PNC1
KOG4004	Matricellular protein Osteonectin/SPARC/BM-40
KOG4005	Transcription factor XBP-1
KOG4006	Anti-proliferation factor BTG1/TOB
KOG4007	Uncharacterized conserved protein
KOG4008	rRNA processing protein RRP7
KOG4009	NADH-ubiquinone oxidoreductase, subunit NDUFB10/PDSW
KOG4010	Coiled-coil protein TPD52
KOG4011	Transcription initiation factor TFIID, subunit TAF7
KOG4012	Histone H1
KOG4013	Predicted Cu2+ homeostasis protein CutC
KOG4014	Uncharacterized conserved protein (contains TPR repeat)
KOG4015	Fatty acid-binding protein FABP
KOG4016	Synaptic vesicle protein Synaptogyrin involved in regulation of Ca2+-dependent exocytosis
KOG4017	DNA excision repair protein XPA/XPAC/RAD14
KOG4018	Uncharacterized conserved protein, contains RWD domain
KOG4019	Calcineurin-mediated signaling pathway inhibitor DSCR1
KOG4020	Protein DRE2, required for cell viability
KOG4021	Mitochondrial ribosomal protein S18b
KOG4022	Dihydropteridine reductase DHPR/QDPR
KOG4023	Uncharacterized conserved protein
KOG4024	Complement component 1, Q subcomponent binding protein/mRNA splicing factor SF2, subunit P32
KOG4025	Putative apoptosis related protein
KOG4026	Uncharacterized conserved protein
KOG4027	Uncharacterized conserved protein
KOG4028	Uncharacterized conserved protein
KOG4029	Transcription factor HAND2/Transcription factor TAL1/TAL2/LYL1
KOG4030	Uncharacterized conserved protein, contains SPRY domain
KOG4031	Vesicle coat protein clathrin, light chain
KOG4032	Uncharacterized conserved protein
KOG4033	Uncharacterized conserved protein
KOG4034	Uncharacterized conserved protein NOF (Neighbor of FAU)
KOG4035	Coeffector of mDia Rho GTPase, regulates actin polymerization and cell adhesion turnover
KOG4036	Uncharacterized conserved protein
KOG4037	Photoreceptor synaptic vesicle protein HRG4/UNC-119
KOG4038	cGMP-phosphodiesterase, delta subunit
KOG4039	Serine/threonine kinase TIP30/CC3
KOG4040	NADH:ubiquinone oxidoreductase, NDUFB8/ASHI subunit
KOG4041	Protein phosphatase 1, regulatory (inhibitor) subunit PPP1R2
KOG4042	Dynactin subunit p27/WS-3, involved in transport of organelles along microtubules
KOG4043	Uncharacterized conserved protein
KOG4044	Mitochondrial associated endoribonuclease MAR1 (isochorismatase superfamily)
KOG4045	Uncharacterized conserved protein
KOG4046	RNase MRP and P, subunit POP4/p29
KOG4047	Docking protein 1 (p62dok)
KOG4048	Uncharacterized conserved protein
KOG4049	Proliferation-related protein MLF
KOG4050	Glutamate transporter EAAC1-interacting protein GTRAP3-18
KOG4051	Uncharacterized conserved protein
KOG4052	Uncharacterized conserved protein
KOG4053	Ataxin-1, involved in Ca2+ homeostasis
KOG4054	Uncharacterized conserved protein
KOG4055	Uncharacterized conserved protein
KOG4056	Translocase of outer mitochondrial membrane complex, subunit TOM20
KOG4057	Uncharacterized conserved protein
KOG4058	Uncharacterized conserved protein
KOG4059	Uncharacterized conserved protein
KOG4060	Uncharacterized conserved protein
KOG4061	DMQ mono-oxygenase/Ubiquinone biosynthesis protein COQ7/CLK-1/CAT5
KOG4062	6-O-methylguanine-DNA methyltransferase MGMT/MGT1, involved in DNA repair
KOG4063	Major epididymal secretory protein HE1
KOG4064	Cysteine dioxygenase CDO1
KOG4065	Uncharacterized conserved protein
KOG4066	Cell growth regulatory protein CGR11
KOG4067	Uncharacterized conserved protein
KOG4068	Uncharacterized conserved protein
KOG4069	Uncharacterized conserved protein
KOG4070	Putative signal transduction protein p25
KOG4071	Uncharacterized conserved protein
KOG4072	Signal peptidase complex, subunit SPC25
KOG4073	Pterin carbinolamine dehydratase PCBD/dimerization cofactor of HNF1
KOG4074	Leucine zipper nuclear factor
KOG4075	Cytochrome c oxidase, subunit IV/COX5b
KOG4076	Regulator of ATP-sensitive K+ channels Alpha-endosulfine/ARPP-19 and related cAMP-regulated phosphoproteins
KOG4077	Cytochrome c oxidase, subunit Va/COX6
KOG4078	Putative mitochondrial ribosomal protein mRpS35
KOG4079	Putative mitochondrial ribosomal protein mRpS25
KOG4080	Mitochondrial ribosomal protein L32
KOG4081	Dynein light chain
KOG4082	Uncharacterized conserved protein
KOG4083	Head-elevated expression protein
KOG4084	Transmembrane protein
KOG4085	Uncharacterized conserved protein
KOG4086	Transcriptional regulator SOH1
KOG4087	Phospholipase A2
KOG4088	Translocon-associated complex TRAP, delta subunit
KOG4089	Predicted mitochondrial ribosomal protein L23
KOG4090	Uncharacterized conserved protein
KOG4091	Transcription factor
KOG4092	Mitochondrial F1F0-ATP synthase, subunit f
KOG4093	Uncharacterized conserved protein
KOG4094	Uncharacterized conserved protein
KOG4095	Uncharacterized conserved protein (tumor-specific protein BCL7 in humans)
KOG4096	Uncharacterized conserved protein
KOG4097	Succinate dehydrogenase membrane anchor subunit and related proteins
KOG4098	Molecular chaperone Prefoldin, subunit 2
KOG4099	Predicted membrane protein
KOG4100	Uncharacterized conserved protein
KOG4101	Cysteine-rich hydrophobic proteins
KOG4102	Uncharacterized conserved protein
KOG4103	Mitochondrial F1F0-ATP synthase, subunit g/ATP20
KOG4104	Ganglioside-induced differentiation associated protein 3
KOG4105	6-pyruvoyl tetrahydrobiopterin synthase
KOG4106	Uncharacterized conserved protein
KOG4107	MP1 adaptor interacting protein P14
KOG4108	Dynein light chain
KOG4109	Histone H3 (Lys4) methyltransferase complex, subunit CPS25/DPY-30
KOG4110	NADH:ubiquinone oxidoreductase, NDUFS5/15kDa
KOG4111	Translocase of outer mitochondrial membrane complex, subunit TOM22
KOG4112	Signal peptidase subunit
KOG4113	Guanine nucleotide exchange factor
KOG4114	Cytochrome c oxidase assembly protein PET191
KOG4115	Dynein-associated protein Roadblock
KOG4116	Ubiquinol cytochrome c reductase, subunit QCR8
KOG4117	Heat shock factor binding protein
KOG4118	Uncharacterized conserved protein
KOG4119	G protein gamma subunit
KOG4120	G/T mismatch-specific thymine DNA glycosylase
KOG4121	Nuclear pore complex, Nup133 component (sc Nup133)
KOG4122	Mitochondrial/chloroplast ribosomal protein L36
KOG4123	Putative alpha 1,2 mannosyltransferase
KOG4124	Putative transcriptional repressor regulating G2/M transition
KOG4125	Acid trehalase
KOG4126	Alkaline phosphatase
KOG4127	Renal dipeptidase
KOG4128	Bleomycin hydrolases and aminopeptidases of cysteine protease family
KOG4129	Exopolyphosphatases and related proteins
KOG4130	Prenyl protein protease
KOG4131	Ngg1-interacting factor 3 protein NIF3L1
KOG4132	Uroporphyrinogen III synthase UROS/HEM4
KOG4133	tRNA splicing endonuclease
KOG4134	DNA-dependent RNA polymerase I
KOG4135	Predicted phosphoglucosamine acetyltransferase
KOG4136	Predicted mitochondrial cholesterol transporter
KOG4137	Uncharacterized conserved protein
KOG4138	Unchracterized conserved protein (estrogen up-regulated protein E2IG2 in human)
KOG4139	Protein kinase essential for the initiation of DNA replication
KOG4140	Nuclear protein Ataxin-7
KOG4141	DNA repair and recombination protein RAD52/RAD22
KOG4142	Phospholipid methyltransferase
KOG4143	Sigma receptor and C-8 sterol isomerase
KOG4144	Arylalkylamine N-acetyltransferase
KOG4145	Allantoicase
KOG4146	Ubiquitin-like protein
KOG4147	Uncharacterized conserved protein
KOG4148	Uncharacterized conserved protein
KOG4149	Uncharacterized conserved protein
KOG4150	Predicted ATP-dependent RNA helicase
KOG4151	Myosin assembly protein/sexual cycle protein and related proteins
KOG4152	Host cell transcription factor HCFC1
KOG4153	Fructose 1,6-bisphosphate aldolase
KOG4154	Arginine-rich protein
KOG4155	FOG: WD40 repeat
KOG4156	Claspin, protein mediating phosphorylation and activation of Chk1 protein kinase in the DNA replication checkpoint response
KOG4157	beta-1,6-N-acetylglucosaminyltransferase, contains WSC domain
KOG4158	BRPK/PTEN-induced protein kinase
KOG4159	Predicted E3 ubiquitin ligase
KOG4160	BPI/LBP/CETP family protein
KOG4161	Methyl-CpG binding transcription regulators
KOG4162	Predicted calmodulin-binding protein
KOG4163	Prolyl-tRNA synthetase
KOG4164	Cyclin ik3-1/CABLES
KOG4165	Gamma-glutamyl phosphate reductase
KOG4166	Thiamine pyrophosphate-requiring enzyme
KOG4167	Predicted DNA-binding protein, contains SANT and ELM2 domains
KOG4168	Predicted RNA polymerase III subunit C17
KOG4169	15-hydroxyprostaglandin dehydrogenase and related dehydrogenases
KOG4170	2-enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase/Peroxisomal 3-ketoacyl-CoA-thiolase, sterol-binding domain and related enzymes
KOG4171	Adenylate/guanylate kinase
KOG4172	Predicted E3 ubiquitin ligase
KOG4173	Alpha-SNAP protein
KOG4174	Uncharacterized conserved protein
KOG4175	Tryptophan synthase alpha chain
KOG4176	Uncharacterized conserved protein
KOG4177	Ankyrin
KOG4178	Soluble epoxide hydrolase
KOG4179	Lysyl hydrolase/glycosyltransferase family 25
KOG4180	Predicted kinase
KOG4181	Uncharacterized conserved protein
KOG4182	Uncharacterized conserved protein
KOG4183	RNA polymerase I 49 kDa subunit
KOG4184	Predicted sugar kinase
KOG4185	Predicted E3 ubiquitin ligase
KOG4186	Peroxisomal biogenesis protein (peroxin)
KOG4187	Proprotein convertase (PC) 2 chaperone involved in secretion (neuroendocrine protein 7B2)
KOG4188	Uncharacterized conserved protein
KOG4189	Uncharacterized conserved protein
KOG4190	Uncharacterized conserved protein
KOG4191	Histone acetyltransferases PCAF/SAGA/ADA, subunit TADA3L/NGG1
KOG4192	Uncharacterized conserved protein
KOG4193	G protein-coupled receptors
KOG4194	Membrane glycoprotein LIG-1
KOG4195	Transient receptor potential-related channel 7
KOG4196	bZIP transcription factor MafK
KOG4197	FOG: PPR repeat
KOG4198	RNA-binding Ran Zn-finger protein and related proteins
KOG4199	Uncharacterized conserved protein
KOG4200	Uncharacterized conserved protein
KOG4201	Anthranilate synthase component II
KOG4202	Phosphoribosylanthranilate isomerase
KOG4203	Armadillo/beta-Catenin/plakoglobin
KOG4204	Histone deacetylase complex, SIN3 component
KOG4205	RNA-binding protein musashi/mRNA cleavage and polyadenylation factor I complex, subunit HRP1
KOG4206	Spliceosomal protein snRNP-U1A/U2B
KOG4207	Predicted splicing factor, SR protein superfamily
KOG4208	Nucleolar RNA-binding protein NIFK
KOG4209	Splicing factor RNPS1, SR protein superfamily
KOG4210	Nuclear localization sequence binding protein
KOG4211	Splicing factor hnRNP-F and related RNA-binding proteins
KOG4212	RNA-binding protein hnRNP-M
KOG4213	RNA-binding protein La
KOG4214	Myotrophin and similar proteins
KOG4215	Hepatocyte nuclear factor 4 and similar steroid hormone receptors
KOG4216	Steroid hormone nuclear receptor
KOG4217	Nuclear receptors of the nerve growth factor-induced protein B type
KOG4218	Nuclear hormone receptor betaFTZ-F1
KOG4219	G protein-coupled receptor
KOG4220	Muscarinic acetylcholine receptor
KOG4221	Receptor mediating netrin-dependent axon guidance
KOG4222	Axon guidance receptor Dscam
KOG4223	Reticulocalbin, calumenin, DNA supercoiling factor, and related Ca2+-binding proteins of the CREC family (EF-Hand protein superfamily)
KOG4224	Armadillo repeat protein VAC8 required for vacuole fusion, inheritance and cytosol-to-vacuole protein targeting
KOG4225	Sorbin and SH3 domain-containing protein
KOG4226	Adaptor protein NCK/Dock, contains SH2 and SH3 domains
KOG4227	WD40 repeat protein
KOG4228	Protein tyrosine phosphatase
KOG4229	Myosin VII, myosin IXB and related myosins
KOG4230	C1-tetrahydrofolate synthase
KOG4231	Intracellular membrane-bound Ca2+-independent phospholipase A2
KOG4232	Delta 6-fatty acid desaturase/delta-8 sphingolipid desaturase
KOG4233	DNA-bridging protein BAF
KOG4234	TPR repeat-containing protein
KOG4235	Mitochondrial thymidine kinase 2/deoxyguanosine kinase
KOG4236	Serine/threonine protein kinase PKC mu/PKD and related proteins
KOG4237	Extracellular matrix protein slit, contains leucine-rich and EGF-like repeats
KOG4238	Bifunctional ATP sulfurylase/adenosine 5'-phosphosulfate kinase
KOG4239	Ras GTPase effector RASSF2
KOG4240	Multidomain protein, contains SPEC repeats, PH, SH3, and separate rac-specific and rho-specific guanine nucleotide exchange factor domains
KOG4241	Mitochondrial ribosomal protein L10
KOG4242	Predicted myosin-I-binding protein
KOG4243	Macrophage maturation-associated protein
KOG4244	Failed axon connections (fax) protein/glutathione S-transferase-like protein
KOG4245	Predicted metal-dependent hydrolase of the TIM-barrel fold
KOG4246	Predicted DNA-binding protein, contains SAP domain
KOG4247	Mitochondrial DNA polymerase accessory subunit
KOG4248	Ubiquitin-like protein, regulator of apoptosis
KOG4249	Uncharacterized conserved protein
KOG4250	TANK binding protein kinase TBK1
KOG4251	Calcium binding protein
KOG4252	GTP-binding protein
KOG4253	Tryptophan-rich basic nuclear protein
KOG4254	Phytoene desaturase
KOG4255	Uncharacterized conserved protein
KOG4256	Kinetochore component
KOG4257	Focal adhesion tyrosine kinase FAK, contains FERM domain
KOG4258	Insulin/growth factor receptor (contains protein kinase domain)
KOG4259	Putative nucleic acid-binding protein Hcc-1/proliferation associated cytokine-inducible protein, contains SAP domain
KOG4260	Uncharacterized conserved protein
KOG4261	Talin
KOG4262	Uncharacterized conserved protein
KOG4263	Putative receptor CCR1
KOG4264	Nucleo-cytoplasmic protein MLN51
KOG4265	Predicted E3 ubiquitin ligase
KOG4266	Subtilisin kexin isozyme-1/site 1 protease, subtilase superfamily
KOG4267	Predicted membrane protein
KOG4268	Uncharacterized conserved protein containing PAP2 domain
KOG4269	Rac GTPase-activating protein BCR/ABR
KOG4270	GTPase-activator protein
KOG4271	Rho-GTPase activating protein
KOG4272	Predicted GTP-binding protein
KOG4273	Uncharacterized conserved protein
KOG4274	Positive cofactor 2 (PC2), subunit of a multiprotein coactivator of RNA polymerase II
KOG4275	Predicted E3 ubiquitin ligase
KOG4276	Predicted hormone receptor interactor
KOG4277	Uncharacterized conserved protein, contains thioredoxin domain
KOG4278	Protein tyrosine kinase
KOG4279	Serine/threonine protein kinase
KOG4280	Kinesin-like protein
KOG4281	Uncharacterized conserved protein
KOG4282	Transcription factor GT-2 and related proteins, contains trihelix DNA-binding/SANT domain
KOG4283	Transcription-coupled repair protein CSA, contains WD40 domain
KOG4284	DEAD box protein
KOG4285	Mitotic phosphoprotein
KOG4286	Dystrophin-like protein
KOG4287	Pectin acetylesterase and similar proteins
KOG4288	Predicted oxidoreductase
KOG4289	Cadherin EGF LAG seven-pass G-type receptor
KOG4290	Predicted membrane protein
KOG4291	Mucin/alpha-tectorin
KOG4292	Cubilin, multiligand receptor mediating cobalamin absorption
KOG4293	Predicted membrane protein, contains DoH and Cytochrome b-561/ferric reductase transmembrane domains
KOG4294	Non voltage-gated ion channels (DEG/ENaC family)
KOG4295	Serine proteinase inhibitor (KU family)
KOG4296	Epithelin/granulin
KOG4297	C-type lectin
KOG4298	CAP-binding protein complex interacting protein 2
KOG4299	PHD Zn-finger protein
KOG4300	Predicted methyltransferase
KOG4301	Beta-dystrobrevin
KOG4302	Microtubule-associated protein essential for anaphase spindle elongation
KOG4303	Vesicular inhibitory amino acid transporter
KOG4304	Transcriptional repressors of the hairy/E(spl) family (contains HLH)
KOG4305	RhoGEF GTPase
KOG4306	Glycosylphosphatidylinositol-specific phospholipase C
KOG4307	RNA binding protein RBM12/SWAN
KOG4308	LRR-containing protein
KOG4309	Transcription mediator-related factor
KOG4310	Synapse-associated protein
KOG4311	Histidinol dehydrogenase
KOG4312	Predicted acyltransferase
KOG4313	Thiamine pyrophosphokinase
KOG4314	Predicted carbohydrate/phosphate translocator
KOG4315	G-patch nucleic acid binding protein
KOG4316	Uncharacterized conserved protein
KOG4317	Predicted Zn-finger protein
KOG4318	Bicoid mRNA stability factor
KOG4319	DNA-binding nuclear protein p8
KOG4320	Uncharacterized conserved protein
KOG4321	Predicted phosphate acyltransferases
KOG4322	Anaphase-promoting complex (APC), subunit 5
KOG4323	Polycomb-like PHD Zn-finger protein
KOG4324	Guanine nucleotide exchange factor
KOG4325	Uncharacterized conserved protein
KOG4326	Mitochondrial F1F0-ATP synthase, subunit e
KOG4327	mRNA splicing protein SMN (survival motor neuron)
KOG4328	WD40 protein
KOG4329	DNA-binding protein
KOG4330	Uncharacterized conserved protein
KOG4331	Polytopic membrane protein Prominin
KOG4332	Predicted sugar transporter
KOG4333	Nuclear DEAF-1 related transcriptional regulator (suppressin) and related SAND domain proteins
KOG4334	Uncharacterized conserved protein, contains double-stranded RNA-binding motif and WW domain
KOG4335	FERM domain-containing protein KRIT1
KOG4336	TBP-associated transcription factor Prodos
KOG4337	Microsomal triglyceride transfer protein
KOG4338	Predicted lipoprotein
KOG4339	RPEL repeat-containing protein
KOG4340	Uncharacterized conserved protein
KOG4341	F-box protein containing LRR
KOG4342	Alpha-mannosidase
KOG4343	bZIP transcription factor ATF6
KOG4344	Uncharacterized conserved protein
KOG4345	NF-kappa B regulator AP20/Cezanne
KOG4346	Uncharacterized conserved protein
KOG4347	GTPase-activating protein VRP
KOG4348	Adaptor protein CMS/SETA
KOG4349	Uncharacterized conserved protein
KOG4350	Uncharacterized conserved protein, contains BTB/POZ domain
KOG4351	Uncharacterized conserved protein
KOG4352	Fas-mediated apoptosis inhibitor FAIM
KOG4353	RNA export factor NXT1
KOG4354	N-acetyl-gamma-glutamyl-phosphate reductase
KOG4355	Predicted Fe-S oxidoreductase
KOG4356	Uncharacterized conserved protein
KOG4357	Uncharacterized conserved protein (involved in mesoderm differentiation in humans)
KOG4358	Uncharacterized conserved protein
KOG4359	Protein kinase C inhibitor-like protein
KOG4360	Uncharacterized coiled coil protein
KOG4361	BCL2-associated athanogene-like proteins and related BAG family chaperone regulators
KOG4362	Transcriptional regulator BRCA1
KOG4363	Putative growth response protein
KOG4364	Chromatin assembly factor-I
KOG4365	Uncharacterized conserved protein
KOG4366	Predicted thioesterase
KOG4367	Predicted Zn-finger protein
KOG4368	Predicted RNA binding protein, contains SWAP, RPR and G-patch domains
KOG4369	RTK signaling protein MASK/UNC-44
KOG4370	Ral-GTPase effector RLIP76
KOG4371	Membrane-associated protein tyrosine phosphatase PTP-BAS and related proteins, contain FERM domain
KOG4372	Predicted alpha/beta hydrolase
KOG4373	Predicted 3'-5' exonuclease
KOG4374	RNA-binding protein Bicaudal-C
KOG4375	Scaffold protein Shank and related SAM domain proteins
KOG4376	Uncharacterized conserved protein
KOG4377	Zn-finger protein
KOG4378	Nuclear protein COP1
KOG4379	Uncharacterized conserved protein (tumor antigen CML66 in humans)
KOG4380	Carnitine deficiency associated protein
KOG4381	RUN domain-containing protein
KOG4382	Uncharacterized conserved protein, contains DTW domain
KOG4383	Uncharacterized conserved protein
KOG4384	Uncharacterized SAM domain protein
KOG4385	Predicted forkhead transcription factor
KOG4386	Uncharacterized conserved protein
KOG4387	Ornithine decarboxylase antizyme
KOG4388	Hormone-sensitive lipase HSL
KOG4389	Acetylcholinesterase/Butyrylcholinesterase
KOG4390	Voltage-gated A-type K+ channel KCND
KOG4391	Predicted alpha/beta hydrolase BEM46
KOG4392	RNA polymerase, subunit L
KOG4393	Predicted pseudouridylate synthase
KOG4394	RNase P subunit that is not also a subunit of RNase MRP, involved in pre-tRNA processing
KOG4395	Transcription factor Atonal, contains HTH domain
KOG4396	Predicted membrane-anchored protein
KOG4397	Uncharacterized conserved protein
KOG4398	Predicted coiled-coil protein
KOG4399	C2HC-type Zn-finger protein
KOG4400	E3 ubiquitin ligase interacting with arginine methyltransferase
KOG4401	Uncharacterized conserved protein
KOG4402	Uncharacterized conserved protein
KOG4403	Cell surface glycoprotein STIM, contains SAM domain
KOG4404	Tandem pore domain K+ channel TASK3/THIK-1
KOG4405	GDP dissociation inhibitor
KOG4406	CDC42 Rho GTPase-activating protein
KOG4407	Predicted Rho GTPase-activating protein
KOG4408	Putative Mg2+ and Co2+ transporter CorD
KOG4409	Predicted hydrolase/acyltransferase (alpha/beta hydrolase superfamily)
KOG4410	5-formyltetrahydrofolate cyclo-ligase
KOG4411	Phytoene/squalene synthetase
KOG4412	26S proteasome regulatory complex, subunit PSMD10
KOG4413	26S proteasome regulatory complex, subunit PSMD5
KOG4414	COP9 signalosome, subunit CSN8
KOG4415	Uncharacterized conserved protein
KOG4416	Uncharacterized conserved protein
KOG4417	Predicted endonuclease
KOG4418	Predicted membrane protein
KOG4419	5' nucleotidase
KOG4420	Uncharacterized conserved protein (Ganglioside-induced differentiation associated protein 1, GDAP1)
KOG4421	Uncharacterized conserved protein
KOG4422	Uncharacterized conserved protein
KOG4423	GTP-binding protein-like, RAS superfamily
KOG4424	Predicted Rho/Rac guanine nucleotide exchange factor/faciogenital dysplasia protein 3
KOG4425	Uncharacterized conserved protein
KOG4426	Arginyl-tRNA synthetase
KOG4427	E3 ubiquitin protein ligase
KOG4428	Inositol-polyphosphate 4-phosphatase
KOG4429	Uncharacterized conserved protein, contains SH3 and FCH domains
KOG4430	Topoisomerase I-binding arginine-serine-rich protein
KOG4431	Uncharacterized protein, induced by hypoxia 
KOG4432	Uncharacterized NUDIX family hydrolase
KOG4433	Tweety transmembrane/cell surface protein
KOG4434	Molecular chaperone SEC63, endoplasmic reticulum translocon component
KOG4435	Predicted lipid kinase
KOG4436	Predicted GTPase activator NB4S/EVI5 (contains TBC domain)/Calmodulin-binding protein Pollux (contains PTB and TBC domains)
KOG4437	ATP-dependent DNA ligase III
KOG4438	Centromere-associated protein NUF2
